Aafrika	Afrika
Ooper	Opera
Philadelphia	Philadelphia
Kolkata	Calcutta
Opel Astra	Opel Astra
Chennai	Chennai
Delhi	Delhi
Dhaka	Dhaka
Bangalore	Bangalore
Lääne-Bengali osariik	Västbengalen
Ämblikulised	Spindlar
Ämblikulaadsed	Spindeldjur
Lõugtundlased	Palpkäkar
Lülijalgsed	Leddjur
Hyderabad	Hyderabad
Islamabad	Islamabad
Tripura	Tripura
Vili	Frukt
Raha	Pengar
Virginia	Virginia
Lääne-Virginia	West Virginia
Matterhorn	Matterhorn
Dungeons & Dragons	Dungeons & Dragons
Harilik paprika	Spanskpeppar
Piran	Piran
Huroni järv	Huronsjön
New Yorgi osariik	New York (delstat)
Tseerium	Cerium
Praseodüüm	Praseodym
Rhode Island	Rhode Island
Neodüüm	Neodym
Putukad	Insekter
Maryland	Maryland
Delaware	Delaware
Vladimir Lenin	Vladimir Lenin
Euroopium	Europium
Ohio	Ohio
Vergilius	Vergilius
Niccolò Machiavelli	Niccolò Machiavelli
Pennsylvania	Pennsylvania
Francesco Petrarca	Francesco Petrarca
Giovanni Boccaccio	Giovanni Boccaccio
Luigi Pirandello	Luigi Pirandello
Uetersen	Uetersen
Augustus	Augustus
Microsoft Windows	Microsoft Windows
Tiberius	Tiberius
New Jersey osariik	New Jersey
Caligula	Caligula
Gibraltar	Gibraltar
Claudius	Claudius
Soome keel	Finska
Nero	Nero
Galba	Galba
Indiana	Indiana
Otho	Otho
Vitellius	Vitellius
Nokia (ettevõte)	Nokia
Vespasianus	Vespasianus
Auto	Bil
Titus	Titus (romersk kejsare)
Torino Juventus	Juventus FC
Domitianus	Domitianus
Nerva	Nerva
Traianus	Trajanus
Roger Federer	Roger Federer
Hadrianus	Hadrianus
Georgia	Georgia
Antoninus Pius	Antoninus Pius
Marcus Aurelius	Marcus Aurelius
KDE	KDE
Lucius Verus	Lucius Verus
Commodus	Commodus
Zagreb	Zagreb
Pertinax	Publius Helvius Pertinax
Rajasthan	Rajasthan
Campania	Kampanien
Texas	Texas
Didius Julianus	Didius Julianus
Septimius Severus	Septimius Severus
Molise	Molise
Tamil Nadu	Tamil Nadu
Caracalla	Caracalla
Apuulia	Apulien
Genova	Genua
Bruno Mars	Bruno Mars
Pinatubo	Pinatubo
Basilicata	Basilicata
Põhja-Carolina	North Carolina
Maahoki	Landhockey
Lõuna-Carolina	South Carolina
UC Sampdoria	UC Sampdoria
Calabria	Kalabrien
Sitsiilia maakond	Sicilien
Manila	Manila
Sardiinia	Sardinien
Ferdinand Marcos	Ferdinand Marcos
Noynoy Aquino	Benigno Aquino III
Loire	Loire
Maurits Cornelis Escher	M.C. Escher
Seine	Seine
Crohni tõbi	Crohns sjukdom
Davao	Davao
Quezon City	Quezon City
Le Mans	Le Mans
Bordeaux	Bordeaux
Corazon Aquino	Corazon Aquino
Mayon	Mayon
Süsteemne erütematoosne luupus	Systemisk lupus erythematosus
Buenos Aires	Buenos Aires
Häkker	Hackare
México	Mexico City
Tōkyō prefektuur	Tokyo prefektur
La Paz	La Paz
Barcelona	Barcelona
Ananass	Ananas
Mississippi osariik	Mississippi
Fernão de Magalhães	Ferdinand Magellan
Mississippi	Mississippifloden
Uttar Pradesh	Uttar Pradesh
Uttarakhand	Uttarakhand
José Rizal	José Rizal
Mizoram	Mizoram
Sikkim	Sikkim
Patagoonia	Patagonien
Tennessee	Tennessee
Richard Wagner	Richard Wagner
Robert Louis Stevenson	Robert Louis Stevenson
Janis Joplin	Janis Joplin
Abidjan	Abidjan
Abu Dhabi	Abu Dhabi
Astana	Astana
New Mexico	New Mexico
Ramses II	Ramses II
Ateena	Aten
Ramses I	Ramses I
Minnesota	Minnesota
Bagdad	Bagdad
Caracas	Caracas
UTC	Koordinerad universell tid
Wisconsin	Wisconsin
Cicero	Cicero
AC Milan	AC Milan
Cyndi Lauper	Cyndi Lauper
Iowa	Iowa
Nebraska	Nebraska
Guatemala (linn)	Guatemala City
Kansas	Kansas
Havanna	Havanna
Tubakas (aine)	Tobak
Hindi keel	Hindi
Marathi keel	Marathi
Internet Explorer	Internet Explorer
Sigar	Cigarr
Sigaret	Cigarett
Missouri osariik	Missouri
Georg Simon Ohm	Georg Ohm
Louisiana	Louisiana
Luigi Galvani	Luigi Galvani
Nagaland	Nagaland
Kentucky	Kentucky
Arkansas	Arkansas
Neil Armstrong	Neil Armstrong
Urdu keel	Urdu
Charles Lindbergh	Charles Lindbergh
Hamburg-Mitte	Hamburg-Mitte
Hamburg-Nord	Hamburg-Nord
Altona	Hamburg-Altona
Édith Piaf	Édith Piaf
Wandsbek	Wandsbek (stadsdelsområde)
Bergedorf	Bergedorf
Osijek	Osijek
Elbe	Elbe
Françoise Sagan	Françoise Sagan
Rijeka	Rijeka
Ems	Ems (flod)
Oklahoma	Oklahoma
Weser	Weser
Yohan Blake	Yohan Blake
Justin Gatlin	Justin Gatlin
Doonau	Donau
Kirani James	Kirani James
David Lekuta Rudisha	David Lekuta Rudisha
Nijel Amos	Nijel Amos
Split	Split
Ruhr	Ruhr (flod)
Jacques Brel	Jacques Brel
Moseli jõgi	Mosel
Main	Main
Neckar	Neckar
Aare jõgi	Aare
Ezekiel Kemboi	Ezekiel Kemboi
Saale	Saale
Havel	Havel
Spree	Spree
Félix Sánchez	Felix Sánchez
Põhjameri	Nordsjön
Skagerrak	Skagerrak
Moskva oblast	Moskva oblast
Nesta Carter	Nesta Carter
Stephen Kiprotich	Stephen Kiprotich
Abel Kirui	Abel Kirui
Kiel	Kiel
Schwerin	Schwerin
Potsdam	Potsdam
Hannover	Hannover
Sergei Kirdjapkin	Sergej Kirdjapkin
Düsseldorf	Düsseldorf
Mainz	Mainz
Wiesbaden	Wiesbaden
Dubrovnik	Dubrovnik
Saarbrücken	Saarbrücken
München	München
Samara oblast	Samara oblast
Erfurt	Erfurt
Dresden	Dresden
Ivan Uhhov	Ivan Uchov
Magdeburg	Magdeburg
Võrkpall	Volleyboll
Innsbruck	Innsbruck
Bregenz	Bregenz
Mu‘taz ‘Īsá Barshim	Mutaz Essa Barshim
Viin	Wien
Renaud Lavillenie	Renaud Lavillenie
Björn Otto	Björn Otto
Madonna (laulja)	Madonna (artist)
Kopenhaagen	Köpenhamn
Kaliningradi oblast	Kaliningrad oblast
Macrinus	Macrinus
Stockholm	Stockholm
Helsingi	Helsingfors
David Storl	David Storl
Murmanski oblast	Murmansk oblast
Reese Hoffa	Reese Hoffa
Dublin	Dublin
Elagabalus	Heliogabalus
Murmansk	Murmansk
Reykjavík	Reykjavik
Robert Harting	Robert Harting
Ella Fitzgerald	Ella Fitzgerald
Severus Alexander	Alexander Severus
Tallinn	Tallinn
Eḩsān Ḩadādī	Ehsan Hadadi
Epitaaf	Epitafium
Riia	Riga
Sansibar	Zanzibar
Gerd Kanter	Gerd Kanter
Maximinus Thrax	Maximinus Thrax
Louis Armstrong	Louis Armstrong
Bratislava	Bratislava
Budapest	Budapest
Gordianus I	Gordianus I
Kōji Murofushi	Koji Murofushi
Charles Aznavour	Charles Aznavour
Gdańsk	Gdańsk
Trey Hardee	Trey Hardee
Frankfurt	Frankfurt am Main
Pupienus	Pupienus
Wrocław	Wrocław
Cochin	Kochi, Kerala
Lantaan	Lantan
Gordianus II	Gordianus II
Balbinus	Balbinus
Promeetium	Prometium
Astronoomiline ühik	Astronomisk enhet
Gordianus III	Gordianus III
Philippus Araablane	Filip Araben
Samaarium	Samarium
Aceh	Aceh
Kárášjohka vald	Karasjoks kommun
Kaliningrad	Kaliningrad
Decius	Decius
Gadoliinium	Gadolinium
Death Note	Death Note
Zinédine Zidane	Zinedine Zidane
Terbium	Terbium
Katoliiklus	Katolicism
Luxembourg	Luxemburg (stad)
Düsproosium	Dysprosium
Vaduz	Vaduz
Piibel	Bibeln
Holmium	Holmium
San Marino (linn)	San Marino (stad)
Erbium	Erbium
Phnom Penh	Phnom Penh
Arhangelsk	Archangelsk
Tuulium	Tulium
Hồ Chí Minh (linn)	Ho Chi Minh-staden
Üterbium	Ytterbium
Luteetsium	Lutetium
Hanoi	Hanoi
Tõeline Jeesuse Kirik	The True Jesus Church
Inglise keel	Engelska
Bangkok	Bangkok
Andorra la Vella	Andorra la Vella
Kuala Lumpur	Kuala Lumpur
Taipei	Taipei
Ameriitsium	Americium
Odessa	Odessa
Arhangelski oblast	Archangelsk oblast
Kuurium	Curium
Đồng Hới	Dong Hoi
Concepción	Concepción, Chile
Fyresdali vald	Fyresdals kommun
Berkeelium	Berkelium
Düren	Düren
Atalanta BC	Atalanta BC
Kalifornium	Californium
Diplomaatia	Diplomati
Bologna	Bologna
Einsteinium	Einsteinium
Bologna FC 1909	Bologna FC 1909
Memphis Depay	Memphis Depay
Petroskoi	Petrozavodsk
Fermium	Fermium
Cagliari	Cagliari
Mendeleevium	Mendelevium
Kiiev	Kiev
Cagliari Calcio	Cagliari Calcio
Nobeelium	Nobelium
Catania	Catania
Ontario	Ontario
Lavrentsium	Lawrencium
Yohan Cabaye	Yohan Cabaye
Olivier Giroud	Olivier Giroud
Karim Benzema	Karim Benzema
Florent Malouda	Florent Malouda
Karjala Vabariik	Karelska republiken
Laurent Koscielny	Laurent Koscielny
Patrice Évra	Patrice Evra
Franck Ribéry	Franck Ribéry
Mathieu Valbuena	Mathieu Valbuena
Samir Nasri	Samir Nasri
Blaise Matuidi	Blaise Matuidi
Jérémy Ménez	Jérémy Ménez
Hatem Ben Arfa	Hatem Ben Arfa
Gaël Clichy	Gaël Clichy
Ottawa	Ottawa
Anja Pärson	Anja Pärson
Éric Abidal	Éric Abidal
William Gallas	William Gallas
Bacary Sagna	Bacary Sagna
Nicolas Anelka	Nicolas Anelka
Veenuse atmosfäär	Venus atmosfär
Sébastien Squillaci	Sébastien Squillaci
Abou Diaby	Abou Diaby
Benjamin Raich	Benjamin Raich
Juba (Lõuna-Sudaan)	Juba
Manitoba provints	Manitoba
Alberto Tomba	Alberto Tomba
Alberta	Alberta
Nova Scotia	Nova Scotia
Jerevan	Jerevan
Gustav Thöni	Gustav Thöni
Hermann Maier	Hermann Maier
Vologda	Vologda
Vreni Schneider	Vreni Schneider
Końskowola	Końskowola
Dar es Salaam	Dar es-Salaam
Erika Hess	Erika Hess
Hartum	Khartoum
New Brunswick	New Brunswick
Vormel 1	Formel 1
Briti Columbia	British Columbia
Prints Edwardi saar	Prince Edward Island
2000	2000
2003	2003
2002	2002
2001	2001
Saskatchewani provints	Saskatchewan
2012	2012
Masashi Kishimoto	Masashi Kishimoto
2011	2011
2010	2010
2009	2009
Süsihappegaas	Koldioxid
2013	2013
2014	2014
2015	2015
Newfoundland ja Labrador	Newfoundland och Labrador
2008	2008
JavaScript	Javascript
Loodealad	Northwest Territories
Yukon	Yukon
2004	2004
Vologda oblast	Vologda oblast
Wikitravel	Wikitravel
Calcio Catania	Calcio Catania
2005	2005
2006	2006
Nunavut	Nunavut
2007	2007
Vingugaas	Kolmonoxid
Linux Mint	Linux Mint
Verona	Verona
Iqaluit	Iqaluit
Marc Girardelli	Marc Girardelli
1900	1900
1901	1901
Verona Chievo	AC ChievoVerona
François Mitterrand	François Mitterrand
Titus Livius	Titus Livius
Giuseppe Farina	Nino Farina
Charles de Gaulle	Charles de Gaulle
1902	1902
Firenze	Florens
1903	1903
1904	1904
1905	1905
1907	1907
1906	1906
ACF Fiorentina	ACF Fiorentina
HTML5	HTML5
Seneca	Seneca den yngre
1908	1908
1909	1909
Whitehorse	Whitehorse
1992	1992
Yellowknife	Yellowknife
1991	1991
JSON	JSON
1990	1990
1993	1993
Essen	Essen
1994	1994
1995	1995
Juan Manuel Fangio	Juan Manuel Fangio
1996	1996
David Lynch	David Lynch
Marcel Hirscher	Marcel Hirscher
Komi	Komi (delrepublik)
Genoa CFC	Genoa CFC
1910	1910
1911	1911
1912	1912
SVG	Scalable Vector Graphics
Leipzig	Leipzig
1913	1913
Saint John's (Kanada)	St. John's, Newfoundland och Labrador
1914	1914
1915	1915
Twin Peaks	Twin Peaks
Alberto Ascari	Alberto Ascari
1916	1916
1997	1997
1998	1998
Nürnberg	Nürnberg
1999	1999
1917	1917
Dokumendi objektimudel	Document Object Model
1918	1918
Toit	Mat
Edmonton	Edmonton
Kjetil André Aamodt	Kjetil André Aamodt
Martialis	Martialis
Punalehik	Entoloma
Duisburg	Duisburg
Elementaarlaeng	Elementarladdning
Maolised	Ormar
Bochum	Bochum
Jacques Chirac	Jacques Chirac
Wuppertal	Wuppertal
Arica y Parinacota	Región de Arica y Parinacota
Valguse kiirus	Ljusets hastighet
Bielefeld	Bielefeld
Tarapacá piirkond	Región de Tarapacá
XML	XML
Antofagasta piirkond	Región de Antofagasta
Mannheim	Mannheim
Oraalseks	Oralsex
Regina	Regina, Saskatchewan
Valéry Giscard d'Estaing	Valéry Giscard d’Estaing
Neutriinod	Neutrino
Bode Miller	Bode Miller
Victoria (Briti Columbia)	Victoria, British Columbia
Winnipeg	Winnipeg
NSV Liidu Rahvakomissaride Nõukogu	Folkkommissariernas råd
Halifax	Halifax, Nova Scotia
Sõktõvkar	Syktyvkar
Tšerepovets	Tjerepovets
Québec (linn)	Québec (stad)
1. jaanuar	1 januari
2. jaanuar	2 januari
Uraani kaaslased	Uranus naturliga satelliter
1920	1920
3. jaanuar	3 januari
1919	1919
Tacitus	Publius Cornelius Tacitus
1921	1921
Neenetsimaa	Nentsien
1922	1922
Lund	Lund
4. jaanuar	4 januari
1923	1923
Bío-Bío piirkond	Región del Biobío
Lance Armstrong	Lance Armstrong
1924	1924
Narjan-Mar	Narjan-Mar
Asteroidide vöö	Asteroidbältet
QRpedia	QRpedia
Vene NFSV	Ryska SFSR
Georges Pompidou	Georges Pompidou
Gyldendal	Gyldendal
Leningradi oblast	Leningrad oblast
Kääbusplaneet	Dvärgplanet
Kick-Ass (film)	Kick-Ass (film)
5. jaanuar	5 januari
Arica	Arica
Malmö	Malmö
Pihkva	Pskov
Pihkva oblast	Pskov oblast
Sõzran	Syzran
6. jaanuar	6 januari
Elektron	Elektron
7. jaanuar	7 januari
Nissedali vald	Nissedals kommun
Kviteseidi vald	Kviteseids kommun
8. jaanuar	8 januari
Veliki Novgorod	Novgorod
Seljordi vald	Seljords kommun
9. jaanuar	9 januari
Novgorodi oblast	Novgorod oblast
Tokke vald	Tokke kommun
10. jaanuar	10 januari
Vinje vald	Vinje kommun
Nižni Novgorodi oblast	Nizjnij Novgorod oblast
11. jaanuar	11 januari
12. jaanuar	12 januari
Telemargi kanal	Telemarkskanalen
Columbia jõgi	Columbiafloden
Buzz Aldrin	Buzz Aldrin
Telemark	Telemark fylke
13. jaanuar	13 januari
Birmingham	Birmingham
14. jaanuar	14 januari
15. jaanuar	15 januari
16. jaanuar	16 januari
Tom Hanks	Tom Hanks
17. jaanuar	17 januari
18. jaanuar	18 januari
19. jaanuar	19 januari
20. jaanuar	20 januari
Tööstuslik pööre	Industriella revolutionen
Benseen	Bensen
Skieni vald	Skien
21. jaanuar	21 januari
Chet Baker	Chet Baker
22. jaanuar	22 januari
23. jaanuar	23 januari
Rooma keisririik	Romerska kejsardömet
24. jaanuar	24 januari
25. jaanuar	25 januari
Minsk	Minsk
Sauron	Sauron
26. jaanuar	26 januari
Microsoft	Microsoft
27. jaanuar	27 januari
28. jaanuar	28 januari
29. jaanuar	29 januari
30. jaanuar	30 januari
Tver	Tver
31. jaanuar	31 januari
Porsgrunni vald	Porsgrunns kommun
Tveri oblast	Tver oblast
Prooton	Proton
2. detsember	2 december
1. detsember	1 december
3. detsember	3 december
7. detsember	7 december
5. detsember	5 december
8. detsember	8 december
10. detsember	10 december
6. detsember	6 december
9. detsember	9 december
Franklini kadunud ekspeditsioon	Franklinexpeditionen
Pink Floyd	Pink Floyd
Publius Cornelius Scipio Aemilianus	Publius Scipio Aemilianus
Siljani vald	Siljans kommun
AvtoVAZ	AvtoVAZ
4. detsember	4 december
Airbus Group	Airbus Group
1. veebruar	1 februari
2. veebruar	2 februari
Naatriumkloriid	Natriumklorid
3. veebruar	3 februari
Kurów	Kurów
Žiguli kõrgustik	Zjiguli
4. veebruar	4 februari
5. veebruar	5 februari
6. veebruar	6 februari
7. veebruar	7 februari
8. veebruar	8 februari
9. veebruar	9 februari
10. veebruar	10 februari
Notoddeni vald	Notoddens kommun
Keemia	Kemi
Led Zeppelin	Led Zeppelin
14. veebruar	14 februari
13. veebruar	13 februari
15. veebruar	15 februari
11. veebruar	11 februari
12. veebruar	12 februari
Smolensk	Smolensk
Robin van Persie	Robin van Persie
19. veebruar	19 februari
17. veebruar	17 februari
16. veebruar	16 februari
18. veebruar	18 februari
20. veebruar	20 februari
Analüütiline keemia	Analytisk kemi
Smolenski oblast	Smolensk oblast
Neutron	Neutron
21. veebruar	21 februari
22. veebruar	22 februari
23. veebruar	23 februari
Hjartdali vald	Hjartdals kommun
24. veebruar	24 februari
25. veebruar	25 februari
26. veebruar	26 februari
27	27
27. veebruar	27 februari
28. veebruar	28 februari
11. detsember	11 december
29. veebruar	29 februari
Tinni vald	Tinns kommun
Drangedali vald	Drangedals kommun
12. detsember	12 december
C Sharp	C-sharp
Kragerø vald	Kragerø kommun
Nome vald	Nome kommun
Visual Basic	Visual Basic
13. detsember	13 december
Sauheradi vald	Sauherads kommun
14. detsember	14 december
15. detsember	15 december
2. märts	2 mars
3. märts	3 mars
5. märts	5 mars
1. märts	1 mars
7. märts	7 mars
8. märts	8 mars
4. märts	4 mars
10. märts	10 mars
11. märts	11 mars
6. märts	6 mars
13. märts	13 mars
9. märts	9 mars
12. märts	12 mars
15. märts	15 mars
14. märts	14 mars
C++	C++
Vesinikkloriidhape	Saltsyra
16. detsember	16 december
17. detsember	17 december
Kristiansand	Kristiansand
16. märts	16 mars
17. märts	17 mars
18. märts	18 mars
Jaroslavl	Jaroslavl
19. märts	19 mars
1989	1989
1988	1988
20. märts	20 mars
1987	1987
1986	1986
1985	1985
1984	1984
21. märts	21 mars
1983	1983
22. märts	22 mars
1982	1982
1981	1981
18. detsember	18 december
1980	1980
23. märts	23 mars
Vesinikbromiid	Vätebromid
Jaroslavli oblast	Jaroslavl oblast
Muqdisho	Mogadishu
19. detsember	19 december
24. märts	24 mars
25. märts	25 mars
20. detsember	20 december
26. märts	26 mars
27. märts	27 mars
28. märts	28 mars
29. märts	29 mars
30. märts	30 mars
31. märts	31 mars
Nassau	Nassau, Bahamas
Andromeeda galaktika	Andromedagalaxen
Sanaa	Sanaa
1970	1970
1971	1971
1972	1972
1973	1973
1974	1974
1975	1975
1976	1976
1977	1977
1978	1978
1979	1979
1969	1969
Kolmekümneaastane sõda	Trettioåriga kriget
Konrad Adenauer	Konrad Adenauer
Andmete pakkimine	Datakompression
Benedictus XVI	Benedictus XVI
Ludwig Erhard	Ludwig Erhard
15. aprill	15 april
13. aprill	13 april
12. aprill	12 april
14. aprill	14 april
11. aprill	11 april
10. aprill	10 april
8. aprill	8 april
9. aprill	9 april
7. aprill	7 april
6. aprill	6 april
5. aprill	5 april
4. aprill	4 april
3. aprill	3 april
1. aprill	1 april
2. aprill	2 april
Kurt Georg Kiesinger	Kurt Georg Kiesinger
Hubble'i kosmoseteleskoop	Rymdteleskopet Hubble
Willy Brandt	Willy Brandt
Helmut Schmidt	Helmut Schmidt
Helmut Kohl	Helmut Kohl
16. aprill	16 april
17. aprill	17 april
18. aprill	18 april
19. aprill	19 april
20. aprill	20 april
21. aprill	21 april
22. aprill	22 april
23. aprill	23 april
24. aprill	24 april
Gerhard Schröder	Gerhard Schröder
25. aprill	25 april
26. aprill	26 april
27. aprill	27 april
28. aprill	28 april
29. aprill	29 april
30. aprill	30 april
Planeedi kaaslane	Måne
Masinõppimine	Maskininlärning
Christian Wulff	Christian Wulff
Horst Köhler	Horst Köhler
1. mai	1 maj
2. mai	2 maj
3. mai	3 maj
Energija-Buran	Buran
4. mai	4 maj
5. mai	5 maj
Johannes Rau	Johannes Rau
6. mai	6 maj
7. mai	7 maj
Knock Nevis	Knock Nevis
8. mai	8 maj
9. mai	9 maj
10. mai	10 maj
11. mai	11 maj
12. mai	12 maj
13. mai	13 maj
14. mai	14 maj
15. mai	15 maj
Roman Herzog	Roman Herzog
Titan	Titan (måne)
Richard von Weizsäcker	Richard von Weizsäcker
Walter Scheel	Walter Scheel
16. mai	16 maj
17. mai	17 maj
18. mai	18 maj
19. mai	19 maj
20. mai	20 maj
21. mai	21 maj
22. mai	22 maj
23. mai	23 maj
24. mai	24 maj
25. mai	25 maj
26. mai	26 maj
27. mai	27 maj
28. mai	28 maj
29. mai	29 maj
30. mai	30 maj
31. mai	31 maj
Kostroma	Kostroma
Kostroma oblast	Kostroma oblast
Paul McCartney	Paul McCartney
Egon Krenz	Egon Krenz
21. detsember	21 december
Pius XII	Pius XII
Erich Honecker	Erich Honecker
Rooma Lazio	SS Lazio
Willi Stoph	Willi Stoph
14. juuni	14 juni
15. juuni	15 juni
13. juuni	13 juni
10. juuni	10 juni
7. juuni	7 juni
11. juuni	11 juni
9. juuni	9 juni
12. juuni	12 juni
6. juuni	6 juni
8. juuni	8 juni
5. juuni	5 juni
3. juuni	3 juni
2. juuni	2 juni
1. juuni	1 juni
4. juuni	4 juni
Walter Ulbricht	Walter Ulbricht
Ivanovo	Ivanovo
Ringo Starr	Ringo Starr
Napoli	Neapel
22. detsember	22 december
SSC Napoli	SSC Napoli
George Harrison	George Harrison
1968	1968
Huffmani kodeerimine	Huffmankodning
1967	1967
1966	1966
1965	1965
1964	1964
16. juuni	16 juni
Ivanovo oblast	Ivanovo oblast
John Franklin	John Franklin
Palermo	Palermo
30. juuni	30 juni
29. juuni	29 juni
28. juuni	28 juni
26. juuni	26 juni
25. juuni	25 juni
22. juuni	22 juni
27. juuni	27 juni
24. juuni	24 juni
20. juuni	20 juni
Paul von Hindenburg	Paul von Hindenburg
23. juuni	23 juni
19. juuni	19 juni
18. juuni	18 juni
21. juuni	21 juni
17. juuni	17 juni
Chuck Norris	Chuck Norris
US Palermo	US Città di Palermo
23. detsember	23 december
Wilhelm II	Vilhelm II av Tyskland
Homiel	Homel
Bruce Willis	Bruce Willis
Lempel-Ziv-Welch	Lempel-Ziv-Welch
Parma	Parma
Vladimir	Vladimir, Ryssland
Arnold Schwarzenegger	Arnold Schwarzenegger
15. juuli	15 juli
13. juuli	13 juli
12. juuli	12 juli
10. juuli	10 juli
9. juuli	9 juli
14. juuli	14 juli
8. juuli	8 juli
Parma FC	Parma FC
7. juuli	7 juli
6. juuli	6 juli
5. juuli	5 juli
2. juuli	2 juli
4. juuli	4 juli
3. juuli	3 juli
1. juuli	1 juli
11. juuli	11 juli
Vladimiri oblast	Vladimir oblast
Pescara	Pescara
24. detsember	24 december
Bremerhaven	Bremerhaven
Watford FC	Watford FC
31. juuli	31 juli
30. juuli	30 juli
29. juuli	29 juli
28. juuli	28 juli
27. juuli	27 juli
25. juuli	25 juli
24. juuli	24 juli
23. juuli	23 juli
26. juuli	26 juli
22. juuli	22 juli
19. juuli	19 juli
21. juuli	21 juli
20. juuli	20 juli
17. juuli	17 juli
18. juuli	18 juli
16. juuli	16 juli
Jalgpall	Fotboll
Louis de Funès	Louis de Funès
AS Roma	AS Roma
Münster	Münster
Muusikal	Musikal
Salatoimikud	Arkiv X
25. detsember	25 december
Rjazan	Rjazan
Augsburg	Augsburg
Siena	Siena
Rjazani oblast	Rjazan oblast
Jaroslav Hašek	Jaroslav Hašek
1963	1963
AC Siena	AC Siena
Lech Kaczyński	Lech Kaczyński
Mönchengladbach	Mönchengladbach
Urbino	Urbino
26. detsember	26 december
Holokaust	Förintelsen
1962	1962
Gelsenkirchen	Gelsenkirchen
IPhone	Iphone
Torino FC	Torino FC
Tula	Tula
Braunschweig	Braunschweig
14. august	14 augusti
15. august	15 augusti
13. august	13 augusti
12. august	12 augusti
11. august	11 augusti
10. august	10 augusti
8. august	8 augusti
7. august	7 augusti
9. august	9 augusti
5. august	5 augusti
4. august	4 augusti
2. august	2 augusti
3. august	3 augusti
6. august	6 augusti
1. august	1 augusti
Udine	Udine
Geronimo	Geronimo
Tula oblast	Tula oblast
Chemnitz	Chemnitz
IPad	Ipad
Udinese Calcio	Udinese Calcio
27. detsember	27 december
Brjansk	Brjansk
Krefeld	Krefeld
Madrid	Madrid
Elton John	Elton John
Brjanski oblast	Brjansk oblast
Allveelaev	Ubåt
16. august	16 augusti
Coca-Cola	Coca-Cola
Halle	Halle an der Saale
29. august	29 augusti
28. august	28 augusti
30. august	30 augusti
25. august	25 augusti
26. august	26 augusti
23. august	23 augusti
27. august	27 augusti
21. august	21 augusti
20. august	20 augusti
24. august	24 augusti
18. august	18 augusti
17. august	17 augusti
22. august	22 augusti
19. august	19 augusti
31. august	31 augusti
Michael Jackson	Michael Jackson
28. detsember	28 december
Freiburg	Freiburg im Breisgau
Afaasia	Afasi
Kaluga	Kaluga
Oberhausen	Oberhausen
Gripp	Influensa
Bogotá	Bogotá
Kaluga oblast	Kaluga oblast
Lübeck	Lübeck
Brasília	Brasília
Marihuaana	Cannabis
15. september	15 september
14. september	14 september
13. september	13 september
12. september	12 september
8. september	8 september
11. september	11 september
7. september	7 september
10. september	10 september
5. september	5 september
4. september	4 september
9. september	9 september
2. september	2 september
6. september	6 september
1. september	1 september
3. september	3 september
Rostock	Rostock
29. detsember	29 december
Odekolonn	Eau-de-cologne
Kassel	Kassel
Alaksandr Łukašenka	Aleksandr Lukasjenko
Lima (Peruu)	Lima
Hagen	Hagen
Peakomponentide analüüs	Principalkomponentanalys
Tuulest viidud (film)	Borta med vinden (film)
Hamm	Hamm
30. september	30 september
29. september	29 september
28. september	28 september
27. september	27 september
26. september	26 september
25. september	25 september
Santiago	Santiago de Chile
23. september	23 september
22. september	22 september
24. september	24 september
21. september	21 september
20. september	20 september
18. september	18 september
17. september	17 september
Valgevene NSV	Vitryska SSR
19. september	19 september
16. september	16 september
Mülheim	Mülheim an der Ruhr
Quito	Quito
30. detsember	30 december
Herne	Herne, Tyskland
Sucre	Sucre
Antoine de Saint-Exupéry	Antoine de Saint-Exupéry
Ludwigshafen	Ludwigshafen am Rhein
31. detsember	31 december
1. oktoober	1 oktober
Lüpsilehm	Mjölkboskap
Osnabrück	Osnabrück
15. oktoober	15 oktober
12. oktoober	12 oktober
10. oktoober	10 oktober
14. oktoober	14 oktober
9. oktoober	9 oktober
8. oktoober	8 oktober
13. oktoober	13 oktober
7. oktoober	7 oktober
11. oktoober	11 oktober
6. oktoober	6 oktober
4. oktoober	4 oktober
5. oktoober	5 oktober
3. oktoober	3 oktober
2. oktoober	2 oktober
Asunción	Asunción
Oldenburg	Oldenburg
